      ('and.w', 'zpXI', 2, 1, 'AB21')
      ('and.w', 'zpIY', 2, 1, 'AB31')
      ('and.w', 'zpI', 2, 1, 'AB32')
      ('and.w', 'ipp', 2, 1, 'AB23')
      ('and.w', 'zp', 2, 1, 'AB25')
      ('and.w', 'zpX', 2, 1, 'AB35')
      ('and.w', 'imm', 2, 2, 'AB29')
      ('and.w', 'absY', 2, 2, 'AB39')
      ('and.w', 'abs', 2, 2, 'AB2D')
      ('and.w', 'absX', 2, 2, 'AB3D')
      ('and.w', 'zpXII', 2, 1, 'BB21')
      ('and.w', 'zpIIY', 2, 1, 'BB31')
      ('and.w', 'zpII', 2, 1, 'BB32')
      ('and.w', 'ippI', 2, 1, 'BB23')
      ('and.w', 'absIY', 2, 2, 'BB39')
      ('and.w', 'absI', 2, 2, 'BB2D')
      ('and.w', 'absXI', 2, 2, 'BB3D')
      ('and', 'zpSI', 2, 1, '8B21')
      ('and', 'zpS', 2, 1, '8B35')
      ('and', 'absS', 2, 2, '8B3D')
      ('and.w', 'zpSI', 2, 1, 'CB21')
      ('and.w', 'zpS', 2, 1, 'CB35')
      ('and.w', 'absS', 2, 2, 'CB3D')
      ('and.w', 'zpSII', 2, 1, 'DB21')
      ('and.w', 'absSI', 2, 2, 'DB3D')
      ('and', 'zpSII', 3, 1, '8B9B21')
      ('and', 'absSI', 3, 2, '8B9B3D')
eor   ('eor', 'zpXI', 1, 1, '41')
      ('eor', 'zpIY', 1, 1, '51')
      ('eor', 'zpI', 1, 1, '52')
      ('eor', 'ipp', 1, 1, '43')
      ('eor', 'zp', 1, 1, '45')
      ('eor', 'zpX', 1, 1, '55')
      ('eor', 'imm', 1, 1, '49')
      ('eor', 'absY', 1, 2, '59')
      ('eor', 'abs', 1, 2, '4D')
      ('eor', 'absX', 1, 2, '5D')
      ('eor', 'zpXII', 2, 1, '9B41')
      ('eor', 'zpIIY', 2, 1, '9B51')
      ('eor', 'zpII', 2, 1, '9B52')
      ('eor', 'ippI', 2, 1, '9B43')
      ('eor', 'absIY', 2, 2, '9B59')
      ('eor', 'absI', 2, 2, '9B4D')
      ('eor', 'absXI', 2, 2, '9B5D')
      ('eor.w', 'zpXI', 2, 1, 'AB41')
      ('eor.w', 'zpIY', 2, 1, 'AB51')
      ('eor.w', 'zpI', 2, 1, 'AB52')
      ('eor.w', 'ipp', 2, 1, 'AB43')
      ('eor.w', 'zp', 2, 1, 'AB45')
      ('eor.w', 'zpX', 2, 1, 'AB55')
      ('eor.w', 'imm', 2, 2, 'AB49')
      ('eor.w', 'absY', 2, 2, 'AB59')
      ('eor.w', 'abs', 2, 2, 'AB4D')
      ('eor.w', 'absX', 2, 2, 'AB5D')
      ('eor.w', 'zpXII', 2, 1, 'BB41')
      ('eor.w', 'zpIIY', 2, 1, 'BB51')
      ('eor.w', 'zpII', 2, 1, 'BB52')
      ('eor.w', 'ippI', 2, 1, 'BB43')
      ('eor.w', 'absIY', 2, 2, 'BB59')
      ('eor.w', 'absI', 2, 2, 'BB4D')
      ('eor.w', 'absXI', 2, 2, 'BB5D')
      ('eor', 'zpSI', 2, 1, '8B41')
      ('eor', 'zpS', 2, 1, '8B55')
      ('eor', 'absS', 2, 2, '8B5D')
      ('eor.w', 'zpSI', 2, 1, 'CB41')
      ('eor.w', 'zpS', 2, 1, 'CB55')
      ('eor.w', 'absS', 2, 2, 'CB5D')
