cod opc  Mode ind siz isz osx osz ois oax oay
86  STX  zp    Y   Y   Y   Y   Y   Y   N   N
96  STX  zpY   Y   Y   Y   Y   Y   Y   N   Y
A6  LDX  zp    Y   Y   Y   Y   Y   Y   N   N
B6  LDX  zpY   Y   Y   Y   Y   Y   Y   N   Y
C6  DEC  zp    Y   Y   Y   N   N   N   N   N
D6  DEC  zpX   Y   Y   Y   Y   Y   Y   Y   N
E6  INC  zp    Y   Y   Y   N   N   N   N   N
F6  INC  zpX   Y   Y   Y   Y   Y   Y   Y   N
07  RMB0 zp    Y   N   N   N   N   N   N   N
17  RMB1 zp    Y   N   N   N   N   N   N   N
27  RMB2 zp    Y   N   N   N   N   N   N   N
37  RMB3 zp    Y   N   N   N   N   N   N   N
47  RMB4 zp    Y   N   N   N   N   N   N   N
57  RMB5 zp    Y   N   N   N   N   N   N   N
67  RMB6 zp    Y   N   N   N   N   N   N   N
77  RMB7 zp    Y   N   N   N   N   N   N   N
87  SMB0 zp    Y   N   N   N   N   N   N   N
97  SMB1 zp    Y   N   N   N   N   N   N   N
A7  SMB2 zp    Y   N   N   N   N   N   N   N
B7  SMB3 zp    Y   N   N   N   N   N   N   N
C7  SMB4 zp    Y   N   N   N   N   N   N   N
D7  SMB5 zp    Y   N   N   N   N   N   N   N
E7  SMB6 zp    Y   N   N   N   N   N   N   N
F7  SMB7 zp    Y   N   N   N   N   N   N   N
08  PHP  imp   N   N   N   Y   N   N   N   N
18  CLC  imp   N   N   N   N   N   N   N   N
28  PLP  imp   N   N   N   Y   N   N   N   N
38  SEC  imp   N   N   N   N   N   N   N   N
48  PHA  imp   N   Y   N   Y   Y   N   N   N
58  CLI  imp   N   N   N   N   N   N   N   N
68  PLA  imp   N   Y   N   Y   Y   N   N   N
78  SEI  imp   N   N   N   N   N   N   N   N
88  DEY  imp   N   Y   N   N   N   N   N   N
98  TYA  imp   N   Y   N   N   N   N   Y   N
A8  TAY  imp   N   Y   N   N   N   N   Y   N
B8  CLV  imp   N   N   N   N   N   N   N   N
C8  INY  imp   N   Y   N   N   N   N   N   N
D8  CLD  imp   N   N   N   N   N   N   N   N
E8  INX  imp   N   Y   N   Y   Y   N   N   N
F8  SED  imp   N   N   N   N   N   N   N   N
09  ORA  imm   N   Y   N   N   N   N   Y   Y
19  ORA  absY  Y   Y   Y   N   N   N   Y   Y
29  AND  imm   N   Y   N   N   N   N   Y   Y
39  AND  absY  Y   Y   Y   N   N   N   Y   Y
49  EOR  imm   N   Y   N   N   N   N   Y   Y
59  EOR  absY  Y   Y   Y   N   N   N   Y   Y
69  ADC  imm   N   Y   N   N   N   N   Y   Y
79  ADC  absY  Y   Y   Y   N   N   N   Y   Y
89  BIT  imm   N   Y   N   N   N   N   Y   Y
99  STA  absY  Y   Y   Y   N   N   N   Y   Y
A9  LDA  imm   N   Y   N   N   N   N   Y   Y
B9  LDA  absY  Y   Y   Y   N   N   N   Y   Y
C9  CMP  imm   N   Y   N   N   N   N   Y   Y
D9  CMP  absY  Y   Y   Y   N   N   N   Y   Y
E9  SBC  imm   N   Y   N   N   N   N   Y   Y
F9  SBC  absY  Y   Y   Y   N   N   N   Y   Y
0A  ASL  acc   N   Y   N   N   N   N   Y   Y
1A  INC  acc   N   Y   N   N   N   N   N   N
2A  ROL  acc   N   Y   N   N   N   N   Y   Y
3A  DEC  acc   N   Y   N   N   N   N   N   N
4A  LSR  acc   Y   Y   Y   N   N   N   Y   Y
5A  PHY  imp   N   Y   N   Y   Y   N   N   N
6A  ROR  acc   N   Y   N   N   N   N   Y   Y
7A  PLY  imp   N   Y   N   Y   Y   N   N   N
8A  TXA  imp   Y   Y   N   Y   Y   Y   N   Y
9A  TXS  imp   Y   Y   Y   N   N   N   N   N
AA  TAX  imp   Y   Y   N   Y   Y   Y   N   Y
BA  TSX  imp   Y   Y   Y   N   N   N   N   N
CA  DEX  imp   N   Y   N   Y   Y   N   N   N
DA  PHX  imp   N   Y   N   Y   Y   N   N   N
EA  NOP  imp   N   N   N   N   N   N   N   N
FA  PLX  imp   N   Y   N   Y   Y   N   N   N
0B  DUP  acc   Y   Y   Y   N   N   N   Y   Y
1B  SWP  acc   Y   N   N   N   N   N   Y   Y
2B  ROT  acc   Y   N   N   N   N   N   Y   Y
3B  NXT  imp   Y   N   N   Y   N   N   N   N
4B  PHI  imp   Y   N   N   Y   N   N   N   N
5B  INI  imp   Y   N   N   N   N   N   N   N
6B  PLI  imp   Y   N   N   Y   N   N   N   N
7B  ENT  imp   Y   N   N   Y   N   N   N   N
8B  OSX  imp   N   N   N   N   N   N   N   N
9B  IND  imp   N   N   N   N   N   N   N   N
AB  SIZ  imp   N   N   N   N   N   N   N   N
BB  ISZ  imp   N   N   N   N   N   N   N   N
CB  OSZ  imp   N   N   N   N   N   N   N   N
DB  OIS  imp   N   N   N   N   N   N   N   N
EB  OAX  imp   N   N   N   N   N   N   N   N
FB  OAY  imp   N   N   N   N   N   N   N   N
0C  TSB  abs   Y   Y   Y   N   N   N   Y   Y
1C  TRB  abs   Y   Y   Y   N   N   N   Y   Y
2C  BIT  abs   Y   Y   Y   N   N   N   Y   Y
3C  BIT  absX  Y   Y   Y   Y   Y   Y   Y   Y
4C  JMP  abs   Y   N   N   N   N   N   N   N
5C  PHR  rel16 Y   N   N   Y   N   Y   N   N
6C  JMP  absX  Y   N   N   Y   N   N   Y   N
7C  JMP  absXI Y   N   N   Y   N   N   Y   N
8C  STY  abs   Y   Y   Y   N   N   N   N   N
9C  STZ  absX  Y   Y   Y   Y   Y   Y   Y   N
AC  LDY  abs   Y   Y   Y   N   N   N   N   N
BC  LDY  absX  Y   Y   Y   Y   Y   Y   Y   N
CC  CPY  abs   Y   Y   Y   N   N   N   N   N
DC  PSH  abs   Y   Y   Y   Y   Y   Y   N   N
EC  CPX  abs   Y   Y   Y   Y   Y   Y   N   N
FC  PUL  abs   Y   Y   Y   Y   Y   Y   N   N
0D  ORA  abs   Y   Y   Y   N   N   N   Y   Y
1D  ORA  absX  Y   Y   Y   Y   Y   Y   Y   Y
2D  AND  abs   Y   Y   Y   N   N   N   Y   Y
3D  AND  absX  Y   Y   Y   Y   Y   Y   Y   Y
4D  EOR  abs   Y   Y   Y   N   N   N   Y   Y
5D  EOR  absX  Y   Y   Y   Y   Y   Y   Y   Y
6D  ADC  abs   Y   Y   Y   N   N   N   Y   Y
7D  ADC  absX  Y   Y   Y   Y   Y   Y   Y   Y
8D  STA  abs   Y   Y   Y   N   N   N   N   N
9D  STA  absX  Y   Y   Y   Y   Y   Y   N   N
AD  LDA  abs   Y   Y   Y   N   N   N   N   N
BD  LDA  absX  Y   Y   Y   Y   Y   Y   N   N
CD  CMP  abs   Y   Y   Y   N   N   N   N   N
DD  CMP  absX  Y   Y   Y   Y   Y   Y   N   N
ED  SBC  abs   Y   Y   Y   N   N   N   Y   Y
FD  SBC  absX  Y   Y   Y   Y   Y   Y   Y   Y
0E  ASL  abs   Y   Y   Y   N   N   N   N   N
1E  ASL  absX  Y   Y   Y   Y   Y   Y   Y   N
2E  ROL  abs   Y   Y   Y   N   N   N   N   N
3E  ROL  absX  Y   Y   Y   Y   Y   Y   Y   N
4E  LSR  abs   Y   Y   Y   N   N   N   N   N
5E  LSR  absX  Y   Y   Y   Y   Y   Y   Y   N
6E  ROR  abs   Y   Y   Y   N   N   N   N   N
7E  ROR  absX  Y   Y   Y   Y   Y   Y   Y   N
8E  STX  abs   Y   Y   Y   Y   Y   Y   N   N
9E  STZ  absX  Y   Y   Y   Y   Y   Y   N   N
AE  LDX  abs   Y   Y   Y   Y   Y   Y   N   N
BE  LDX  absY  Y   Y   Y   Y   Y   Y   N   Y
CE  DEC  abs   Y   Y   Y   N   N   N   N   N
DE  DEC  absX  Y   Y   Y   Y   Y   Y   Y   N
EE  INC  abs   Y   Y   Y   N   N   N   N   N
FE  INC  absX  Y   Y   Y   Y   Y   Y   Y   N
