    ('and.x', 'zpIY', 2, 1, 'EB31')
    ('and.x', 'zpIIY', 3, 1, 'EB9B31')
    ('and.xw', 'zpIY', 3, 1, 'EBAB31')
    ('and.xw', 'zpIIY', 3, 1, 'EBBB31')
    ('and.y', 'zpIA', 2, 1, 'FB31')
    ('and.y', 'zpIIA', 3, 1, 'FB9B31')
    ('and.yw', 'zpIA', 3, 1, 'FBAB31')
    ('and.yw', 'zpIIA', 3, 1, 'FBBB31')
    ('and.y', 'zpSIA', 3, 1, 'FB8B31')
    ('and.yw', 'zpSIA', 3, 1, 'FBCB31')
    ('and.yw', 'zpSIIA', 3, 1, 'FBDB31')
    ('and.y', 'zpSIIA', 4, 1, 'FB8B9B31')
41  ('eor', 'zpXI', 1, 1, '41')
    ('eor', 'zpXII', 2, 1, '9B41')
    ('eor.w', 'zpXI', 2, 1, 'AB41')
    ('eor.w', 'zpXII', 2, 1, 'BB41')
    ('eor', 'zpSI', 2, 1, '8B41')
    ('eor.w', 'zpSI', 2, 1, 'CB41')
    ('eor.w', 'zpSII', 2, 1, 'DB41')
    ('eor', 'zpSII', 3, 1, '8B9B41')
    ('eor.x', 'zpAI', 2, 1, 'EB41')
    ('eor.x', 'zpAII', 3, 1, 'EB9B41')
    ('eor.xw', 'zpAI', 3, 1, 'EBAB41')
    ('eor.xw', 'zpAII', 3, 1, 'EBBB41')
    ('eor.y', 'zpXI', 2, 1, 'FB41')
    ('eor.y', 'zpXII', 3, 1, 'FB9B41')
    ('eor.yw', 'zpXI', 3, 1, 'FBAB41')
    ('eor.yw', 'zpXII', 3, 1, 'FBBB41')
    ('eor.y', 'zpSI', 3, 1, 'FB8B41')
    ('eor.yw', 'zpSI', 3, 1, 'FBCB41')
    ('eor.yw', 'zpSII', 3, 1, 'FBDB41')
    ('eor.y', 'zpSII', 4, 1, 'FB8B9B41')
51  ('eor', 'zpIY', 1, 1, '51')
    ('eor', 'zpIIY', 2, 1, '9B51')
    ('eor.w', 'zpIY', 2, 1, 'AB51')
    ('eor.w', 'zpIIY', 2, 1, 'BB51')
