Instruction Histogram: Sieve2.bin

    0,     0,     0,     0,     0,     0,     0,     0,  2200,   601, 13980,  1866,     0,     0,     0,     0,
 1725,     0,     0,     0,     0,     0,     0,     0, 24241,     0,   911, 17770,     0,     0,     0,     0,
 1150,     0,     0,     0,     0,     0,     0,     0,  2200,     0,  8080,  5472,     0,     0,     0,     0,
10932,     0,     0,     0,     0,     0,     0,     0,  1339,     0,  4460,     0,     0,     0,     0,     0,
    0,     0,     0,     0,  2200,     0,     0,     0,  7752,   502,  1536,     0,  5751,     0,     0,     0,
 2050,     0,     0,     0,     1,     0,     0,     0,     0,     0,     0,     0,   672,     0,     0,     0,
 1823,     0,     0,     0,     0,     0,     0,     0,     0,   504,  1536,  4460,     0,     0,     0,     0,
    0,     0,     0,     0,     0, 15561,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
 1434,     0,     0,  2958,     0,     0,     0,     0, 12637,     0,     0,  4686,     0,  6733,     0,     0,
 1536,    29,     0,     0,     0,  4460,     0,     0,     0,     0,   168,  1769,     1,     0,     0,     0,
  770,     0,     2,  4523,     0,     0,     0,     0,     0, 11107,     0, 86256,     0, 13487,     0,     0,
 8080,   197,     0,     0,  1001,  2274,     0,     0,     0,     0,   338,  1536,     0,     0,     0,     0,
    0,     0,  7480,     0,     0,     0,     0,     0,    29,  4403,     0, 28363,     0,  2050,    51,     0,
13367,     0,     0,     0,     0,  2229,     0,     0,     0,     0,   169,     0,     0,     0,   504,     0,
    0,     0,  7631,     0,     0,     0,     0,     0,     0,     1,     0,   168,     0,     0,  1999,     0,
 3870,     0,     0,     0,     0,  1338,     0,     0,     0,     0,   169,    29,     0,     0,     0,     0,


Instruction Histogram: Sieve3.bin

    0,     0,     0,     0,     0,     0,     0,     0,     0,   504,  8160,  1674,     0,     0,     0,     0,
  650,     0,     0,     0,     0,     0,     0,     0, 18903,     0,   905, 17640,     0,     0,     0,     0,
 1053,     0,     0,     0,     0,     0,     0,     0,     0,     0,  8064,   673,     0,     0,     0,     0,
10454,     0,     0,     0,     0,     0,     0,     0,  1078,     0,     0,     0,     0,     0,     0,     0,
    0,     0,     0,     0,     0,     0,     0,     0,  1848,     0,     0,     0,    96,     0,     0,     0,
 1050,     0,     0,     0,     2,     0,     0,     0,     0,     0,     0,     0,   672,     0,     0,     0,
 1726,     0,     0,     0,     0,     0,     0,     0,     0,   554,     0,     0,     0,  2958,     0,     0,
    0,     0,     0,     0,     0,  7327,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
 5732,     0,     0,     0,     0,     0,     0,     0, 14545,     0,     0,  3686,     0,  6232,     0,     0,
    0,  1987,     0,     0,     0,     0,     0,     0,     0,     0,   168,  1673,     1,     0,     0,     0,
  674,     0,     3,  3021,     0,     0,     0,     0,     0,  3818,     0, 57166,  3460,  5422,     0,     0,
 8064,  1699,     0,     0,  1001,  2177,     0,     0,     0,     0,   338,     0,     0,     0,     0,     0,
    0,     0,  5133,     0,     0,     0,     0,     0,    29,  2805,     0, 10911,     0,  1146,     0,     0,
12815,     0,     0,     0,     0,    29,     0,     0,     0,     0,   169,     0,     0,     0,   504,     0,
    0,     0,  6631,     0,     0,     0,     0,     0,     0,     1,     0,   170,     0,     0,  1502,     0,
  670,     0,     0,     0,     0,  1077,     0,     0,     0,     0,   169,    29,     0,     0,     0,     0,

